Trip Date,Trip Year,Trip Month,Day Name,Is Weekend,Service Type,Pickup Borough,Trip Count,Total Revenue,Total Fare Amount,Total Tip Amount,Avg Revenue Per Trip,Avg Fare Amount,Avg Tip Percentage,Avg Revenue Per Mile,Avg Trip Distance,Avg Trip Duration Minutes,Revenue Per Trip
2025-01-01,2025,1,Wednesday,false,green,Bronx,17,263.95,213.38,6.82,15.53,12.55,2.76,9.22,2.04,8.82,15.53
2025-01-01,2025,1,Wednesday,false,green,Brooklyn,171,6542.92,5224.69,733.52,38.26,30.55,15.86,50.28,4.91,17.34,38.26
2025-01-01,2025,1,Wednesday,false,green,Manhattan,496,9700.23,6776.77,1169.21,19.56,13.66,17.55,9.75,2.4,16.7,19.56
2025-01-01,2025,1,Wednesday,false,green,Queens,224,6385.45,5260.46,541.62,28.51,23.48,13.78,25.43,3.88,27.9,28.51
2025-01-01,2025,1,Wednesday,false,green,Unknown,1,61.0,60.0,0.0,61.0,60.0,0.0,23.64,2.58,9.0,61.0
2025-01-01,2025,1,Wednesday,false,yellow,Bronx,344,6952.84,5854.7,118.65,20.21,17.02,1.37,9.91,211.27,19.61,20.21
2025-01-01,2025,1,Wednesday,false,yellow,Brooklyn,2378,60178.88,48077.25,3748.84,25.31,20.22,6.05,6.32,5.43,20.8,25.31
2025-01-01,2025,1,Wednesday,false,yellow,EWR,2,57.4,55.4,0.0,28.7,27.7,0.0,7.0,4.16,9.0,28.7
2025-01-01,2025,1,Wednesday,false,yellow,Manhattan,68823,1625592.84,1114646.96,183753.42,23.62,16.2,18.42,13.46,2.8,14.11,23.62
2025-01-01,2025,1,Wednesday,false,yellow,Queens,9092,603458.32,453963.66,68254.03,66.37,49.93,14.4,10.77,12.36,26.88,66.37
2025-01-01,2025,1,Wednesday,false,yellow,Staten Island,4,186.23,75.56,0.0,46.56,18.89,0.0,9.09,11.47,43.5,46.56
2025-01-01,2025,1,Wednesday,false,yellow,Unknown,186,7079.12,5531.41,673.98,38.06,29.74,16.45,20.21,6.1,16.15,38.06
2025-01-02,2025,1,Thursday,false,green,Bronx,13,219.45,184.5,12.95,16.88,14.19,3.53,12.76,2.31,11.23,16.88
2025-01-02,2025,1,Thursday,false,green,Brooklyn,178,4977.22,3868.75,555.84,27.96,21.73,16.57,14.83,3.62,39.83,27.96
2025-01-02,2025,1,Thursday,false,green,Manhattan,924,18590.99,13028.48,2166.76,20.12,14.1,17.4,10.95,2.36,20.34,20.12
2025-01-02,2025,1,Thursday,false,green,Queens,293,7612.24,6025.7,654.24,25.98,20.57,18.95,33.82,369.12,16.69,25.98
2025-01-02,2025,1,Thursday,false,green,Unknown,1,17.4,14.9,0.0,17.4,14.9,0.0,5.8,3.0,11.0,17.4
2025-01-02,2025,1,Thursday,false,yellow,Bronx,249,9255.96,8332.25,116.68,37.17,33.46,1.95,4.92,9.26,40.32,37.17
2025-01-02,2025,1,Thursday,false,yellow,Brooklyn,1019,30838.34,27408.44,984.08,30.26,26.9,4.33,9.53,6.21,33.9,30.26
2025-01-02,2025,1,Thursday,false,yellow,EWR,2,258.3,95.3,136.0,129.15,47.65,2105.42,3291.42,8.11,25.5,129.15
2025-01-02,2025,1,Thursday,false,yellow,Manhattan,69702,1636310.69,1082028.06,194981.23,23.48,15.52,20.41,15.73,2.46,14.31,23.48
2025-01-02,2025,1,Thursday,false,yellow,Queens,9253,682573.78,502813.25,79936.87,73.77,54.34,15.96,12.73,13.1,34.45,73.77
2025-01-02,2025,1,Thursday,false,yellow,Staten Island,4,85.53,49.27,0.0,21.38,12.32,0.0,4.99,4.23,16.0,21.38
2025-01-02,2025,1,Thursday,false,yellow,Unknown,224,7820.23,5709.47,890.0,34.91,25.49,17.72,22.83,4.12,20.41,34.91
2025-01-03,2025,1,Friday,false,green,Bronx,18,323.67,269.75,13.67,17.98,14.99,3.82,9.85,2.7,61.06,17.98
2025-01-03,2025,1,Friday,false,green,Brooklyn,181,6834.29,5441.86,762.46,37.76,30.07,16.29,50.3,4.96,20.06,37.76
2025-01-03,2025,1,Friday,false,green,Manhattan,897,18966.83,13259.44,2222.91,21.14,14.78,17.63,10.66,45.98,19.87,21.14
2025-01-03,2025,1,Friday,false,green,Queens,312,7300.28,5661.34,687.15,23.4,18.15,13.67,16.16,3.04,27.68,23.4
2025-01-03,2025,1,Friday,false,green,Staten Island,1,12.6,8.6,0.0,12.6,8.6,0.0,10.68,1.18,6.0,12.6
2025-01-03,2025,1,Friday,false,green,Unknown,1,118.9,102.4,15.0,118.9,102.4,14.65,4.33,27.45,38.0,118.9
2025-01-03,2025,1,Friday,false,yellow,Bronx,248,9295.15,8444.15,69.83,37.48,34.05,0.92,18.46,8.89,39.95,37.48
2025-01-03,2025,1,Friday,false,yellow,Brooklyn,1111,38379.0,34020.46,1587.48,34.54,30.62,4.92,17.5,6.59,33.81,34.54
2025-01-03,2025,1,Friday,false,yellow,EWR,1,109.1,88.1,0.0,109.1,88.1,0.0,6.36,17.16,40.0,109.1
2025-01-03,2025,1,Friday,false,yellow,Manhattan,76826,1765435.47,1155542.64,216790.62,22.98,15.04,20.96,16.42,5.48,13.66,22.98
2025-01-03,2025,1,Friday,false,yellow,Queens,8408,609160.1,448895.95,71495.89,72.45,53.39,15.98,12.9,12.74,35.7,72.45
2025-01-03,2025,1,Friday,false,yellow,Staten Island,2,39.22,0.02,0.0,19.61,0.01,0.0,3.84,6.41,14.0,19.61
2025-01-03,2025,1,Friday,false,yellow,Unknown,270,7862.12,5617.52,897.8,29.12,20.81,18.46,13.28,4.02,16.09,29.12
